Time (s),X (km),Y (km),Z (km),VX (km/s),VY (km/s),VZ (km/s)
0.0,6999.989165643261,0.03213063901775377,-0.008984075509764454,0.003050449977904946,5.758963520442785,5.749395982581328
5.405405405405405,6999.8857390660605,31.1475748554084,31.1412893631559,-0.04953964330505504,5.749339694529577,5.772157872915015
10.81081081081081,6999.442452192617,62.26892666641682,62.251787149948086,-0.092298061947977,5.764204167786253,5.766785023047369
16.216216216216218,6998.775808376245,93.3968826844935,93.41813268197659,-0.17570399433937164,5.758443541746078,5.758903851456976
21.62162162162162,6997.77892560999,124.52937122591456,124.50622908365753,-0.2070678371816224,5.756912489798695,5.751238806641236
27.027027027027025,6996.541053451123,155.62651885838105,155.63878459317198,-0.2566361686094522,5.752835996476008,5.756107117603986
32.432432432432435,6995.015153430099,186.7556571071802,186.756501234139,-0.3016574507037104,5.74573122687866,5.757901487937383
37.83783783783784,6993.243497095793,217.8459128538539,217.84314752402054,-0.34770781475350515,5.742653193373308,5.761064588756772
43.24324324324324,6991.124165016268,248.9752511034608,248.9597916218134,-0.4215929465264097,5.749466680961472,5.740749565739911
48.648648648648646,6988.782543185729,280.0312883506908,280.0410578472934,-0.4529899558765656,5.7401493511817785,5.749080756368213
54.05405405405405,6986.152550132982,311.13438904402113,311.0506115042204,-0.5214724934749262,5.750546623105905,5.7466631552612215
59.45945945945946,6983.239111084085,342.1774793371056,342.1732796117668,-0.5689825184841305,5.751195367743138,5.762866381668778
64.86486486486487,6980.09125858634,373.2450628883182,373.231108916445,-0.6141130085629752,5.730249650151309,5.741830187778125
70.27027027027027,6976.569952404763,404.23700217520803,404.2280770536839,-0.6422215069524609,5.735412211918043,5.7331887666707315
75.67567567567568,6972.864648599423,435.2742686528408,435.2944702878909,-0.741519845159817,5.740460485895295,5.710963960599742
81.08108108108108,6968.840230869486,466.266082977449,466.2776027449136,-0.7562597811935287,5.731404963945739,5.7338039916743675
86.48648648648648,6964.574006492905,497.2763583203198,497.26007712660163,-0.8168737802356685,5.72056798570656,5.7344849232269945
91.89189189189187,6960.020979907006,528.1886270966714,528.1622935554283,-0.8684594005086362,5.734746606428542,5.727120740062879
97.29729729729728,6955.15722258138,559.162259378975,559.1700497608915,-0.9235780440369935,5.721735531136154,5.704171900389982
102.7027027027027,6950.045737513338,590.0854860239305,590.0560881969969,-0.9849180612660673,5.719901907985576,5.713407285971459
108.1081081081081,6944.703974691957,621.0053474845134,620.9845005193105,-1.030210171064301,5.698576622575492,5.73262280967428
113.51351351351352,6939.038461217413,651.869870441552,651.8612457327113,-1.0656431241575546,5.7204199068383295,5.708408455954105
118.91891891891892,6933.107735865989,682.7299540541923,682.7116823950105,-1.1455321210434433,5.702097068463874,5.688212478559054
124.32432432432432,6926.871285217898,713.5274465830969,713.5153557247922,-1.1665739396800667,5.6963326463512525,5.705831480957027
129.72972972972974,6920.365379932174,744.3295371150707,744.2523620415457,-1.2173355702307076,5.6942984377183885,5.700513599287647
135.13513513513513,6913.639951257321,775.0814425930183,775.0853812242938,-1.279668727353986,5.689427688078039,5.683776210030423
140.54054054054055,6906.581936947253,805.8221562518816,805.8621244461447,-1.3419140004038463,5.677014794256236,5.668717484037495
145.94594594594594,6899.31408821508,836.5083503285109,836.5037720687911,-1.3724220668932836,5.6689825883313745,5.6690904283661006
151.35135135135135,6891.7461968301295,867.1879570817299,867.1717575961392,-1.4262451392132331,5.6718390804992564,5.677229455751142
156.75675675675674,6883.872301925534,897.788577528519,897.831349438828,-1.4589962274225572,5.658725723100256,5.666554879343042
162.16216216216216,6875.753844625041,928.3905584686934,928.4039913515059,-1.5233264487013858,5.6518316342777,5.659169635563315
167.56756756756755,6867.43106780167,958.9283994790069,958.9161207258959,-1.5717417475795148,5.680737421491548,5.621588440980333
172.97297297297297,6858.718233396124,989.5167218252375,989.5104848159905,-1.6418353539346624,5.640817687894491,5.647564823121957
178.3783783783784,6849.740317451685,1019.9457944367015,1019.9799634541272,-1.6723486771473295,5.629353396285874,5.6319008482915605
183.78378378378375,6840.5775813079545,1050.4184733508123,1050.429167312253,-1.716042025604163,5.637240702815748,5.625662696595582
189.1891891891892,6831.0629447515075,1080.833671367535,1080.8402445875806,-1.7849772569696682,5.6002363711603875,5.60653096477492
194.59459459459455,6821.341770560503,1111.1752337554217,1111.205598897236,-1.8255676523137478,5.612384828554095,5.614703458030661
200.0,6811.294243755661,1141.4513710177132,1141.4678920353895,-1.8613921577659007,5.605097339238327,5.575736227364571
205.4054054054054,6801.019667297736,1171.7644844379693,1171.7517431207568,-1.9243894542289486,5.605607173164244,5.598105542398063
210.8108108108108,6790.493670696931,1201.9873043794862,1201.9537259710578,-1.986956189348523,5.610880855820563,5.571042881597252
216.2162162162162,6779.666501521495,1232.1989001975246,1232.149942165345,-2.0298461744876004,5.56590887363546,5.59074417537333
221.6216216216216,6768.548905712734,1262.2788601621587,1262.267643623377,-2.063547828549331,5.553502238837661,5.579908272034125
227.02702702702703,6757.19697096878,1292.3769692605636,1292.3389394879646,-2.1326410822478623,5.553814629383551,5.555269169437303
232.4324324324324,6745.537776320384,1322.4081031133649,1322.399431847919,-2.17347190518928,5.543369104576226,5.5512821107488
237.83783783783784,6733.610781243064,1352.3494350252968,1352.346759260737,-2.2255753008526975,5.549019719800299,5.53229437680604
243.24324324324323,6721.486687063723,1382.288968130518,1382.314059733936,-2.2823647756084986,5.5347743310552255,5.505004942047199
248.64864864864865,6709.077250008362,1412.1583546963138,1412.1552036677551,-2.332973505874782,5.521412751816336,5.524755750443746
254.05405405405403,6696.397446787844,1441.931361655796,1441.9656394463107,-2.3566642218263474,5.517371156296023,5.522338656569887
259.4594594594595,6683.424081939606,1471.7264768988039,1471.7086422000548,-2.427299139000435,5.498699821004132,5.493914027691241
264.86486486486484,6670.182408350486,1501.4142302610287,1501.407712419085,-2.4655648887696273,5.477158587314195,5.480423075012984
270.27027027027026,6656.728127097169,1531.0442358844662,1531.031837548003,-2.5058742316155858,5.472009079160769,5.467834549947984
275.6756756756757,6642.931477035786,1560.6240042288835,1560.5973685118697,-2.5663538944293314,5.465468992673302,5.469052092631398
281.0810810810811,6628.920104003136,1590.1244536509553,1590.1041904227293,-2.62501221748489,5.460513833137406,5.449469006032534
286.48648648648646,6614.725886497785,1619.596639649968,1619.5567112148565,-2.6557208656425964,5.433486417934162,5.450177206481739
291.8918918918919,6600.205733761478,1648.9529084430317,1648.9299079791606,-2.693967311008266,5.429338131440827,5.438837819567983
297.2972972972973,6585.356967895872,1678.2679479325254,1678.2801161849707,-2.7696382766884478,5.424855942153692,5.408797909464923
302.7027027027027,6570.253155345988,1707.5092089906736,1707.5161857779265,-2.80624951388459,5.406902445413003,5.410439419309294
308.1081081081081,6554.952397341613,1736.77328216518,1736.738335168349,-2.8616874073921976,5.387523497492447,5.371342086658131
