Time (s),X (km),Y (km),Z (km),VX (km/s),VY (km/s),VZ (km/s)
0.0,7000.0,0.0,0.0,-0.0,5.759292697612698,5.759292697612698
5.405405405405405,6999.861549230783,31.13110663328471,31.13110663328471,-0.0512266157433368,5.759178786397822,5.759178786397822
10.81081081081081,6999.4462023998785,62.26098180209514,62.26098180209514,-0.10245120509685815,5.75883705725922,5.75883705725922
16.216216216216218,6998.753975937312,93.38839409067052,93.38839409067052,-0.15367174175090728,5.758267523714799,5.758267523714799
21.62162162162162,6997.784897225737,124.51211218067508,124.51211218067508,-0.2048861995561414,5.7574702082938005,5.7574702082938005
27.027027027027025,6996.539004599351,155.63090489990586,155.63090489990586,-0.2560925526036811,5.756445142535921,5.756445142535921
32.432432432432435,6995.01634734238,186.74354127099454,186.74354127099454,-0.3072887753052498,5.755192366990059,5.755192366990059
37.83783783783784,6993.216985687131,217.84879056010166,217.84879056010166,-0.35847284247330036,5.75371193121271,5.75371193121271
43.24324324324324,6991.140990811604,248.94542232560136,248.94542232560136,-0.409642729401127,5.75200389376601,5.75200389376601
48.648648648648646,6988.788444836682,280.03220646675413,280.03220646675413,-0.4607964119429566,5.750068322215414,5.750068322215414
54.05405405405405,6986.1594408228775,311.1079132723667,311.1079132723667,-0.5119318665940188,5.74790529312703,5.74790529312703
59.45945945945946,6983.254082766659,342.17131346943586,342.17131346943586,-0.5630470705705904,5.745514892064582,5.745514892064582
64.86486486486487,6980.072485596325,373.2211782717753,373.2211782717753,-0.6141400018900119,5.742897213586032,5.742897213586032
70.27027027027027,6976.614775167471,404.2562794286232,404.2562794286232,-0.6652086394506707,5.7400523612398375,5.7400523612398375
75.67567567567568,6972.881088258,435.27538927322894,435.27538927322894,-0.7162509631119518,5.736980447560854,5.736980447560854
81.08108108108108,6968.871572562723,466.27728077141586,466.27728077141586,-0.7672649537741486,5.733681594065886,5.733681594065886
86.48648648648648,6964.5863866875015,497.2607275701194,497.2607275701194,-0.8182485934583329,5.730155931248876,5.730155931248876
91.89189189189189,6960.025700142991,528.2245040458992,528.2245040458992,-0.8691998653861814,5.726403598575746,5.726403598575746
97.29729729729729,6955.18969333792,559.1673853534204,559.1673853534204,-0.9201167540597539,5.722424744478883,5.722424744478883
102.7027027027027,6950.0785575719665,590.0881474739064,590.0881474739064,-0.9709972453412209,5.718219526351259,5.718219526351259
108.1081081081081,6944.692495028179,620.9855672635571,620.9855672635571,-1.0218393265325378,5.713788110540214,5.713788110540214
113.51351351351352,6939.031718764988,651.8584225019334,651.8584225019334,-1.0726409864550621,5.709130672340868,5.709130672340868
118.91891891891892,6933.096452707772,682.705491940305,682.705491940305,-1.1234002155291092,5.704247395989196,5.704247395989196
124.32432432432432,6926.886931640003,713.5255553499602,713.5255553499602,-1.1741150058534484,5.699138474654728,5.699138474654728
129.72972972972974,6920.403401193958,744.317393570474,744.317393570474,-1.2247833512847275,5.69380411043292,5.69380411043292
135.13513513513513,6913.646117841003,775.0797885579358,775.0797885579358,-1.2754032475168322,5.688244514337152,5.688244514337152
140.54054054054055,6906.615348881444,805.811523433132,805.811523433132,-1.3259726921601713,5.682459906290382,5.682459906290382
145.94594594594594,6899.311372433959,836.5113825296814,836.5113825296814,-1.3764896848208843,5.676450515116447,5.676450515116447
151.35135135135135,6891.734477424594,867.178151442125,867.178151442125,-1.4269522271799737,5.670216578531017,5.670216578531017
156.75675675675674,6883.88496357533,897.8106170739642,897.8106170739642,-1.4773583230723517,5.663758343132179,5.663758343132179
162.16216216216216,6875.763141392237,928.4075676856477,928.4075676856477,-1.5277059785658045,5.657076064390693,5.657076064390693
167.56756756756755,6867.369332153176,958.967792942504,958.967792942504,-1.5779932020398653,5.650170006639883,5.650170006639883
172.97297297297297,6858.703867895107,989.4900839626217,989.4900839626217,-1.6282180042646004,5.643040443065178,5.643040443065178
178.3783783783784,6849.767091400938,1019.9732333646656,1019.9732333646656,-1.6783783984792942,5.635687655693312,5.635687655693312
183.78378378378378,6840.55935618598,1050.4160353156408,1050.4160353156408,-1.7284724004710432,5.628111935381161,5.628111935381161
189.1891891891892,6831.081026483953,1080.817285578591,1080.817285578591,-1.7784980286532446,5.62031358180424,5.62031358180424
194.59459459459458,6821.332477232582,1111.175781560235,1111.175781560235,-1.8284533041439837,5.61229290344485,5.61229290344485
200.0,6811.314094058766,1141.4903223585384,1141.4903223585384,-1.8783362508443124,5.604050217579871,5.604050217579871
205.4054054054054,6801.026273263323,1171.7597088102175,1171.7597088102175,-1.9281448955164184,5.595585850268221,5.595585850268221
210.8108108108108,6790.4694218053055,1201.982743538176,1201.982743538176,-1.9778772678616834,5.5869001363379445,5.5869001363379445
216.2162162162162,6779.643957285919,1232.158230998869,1232.158230998869,-2.0275314005986185,5.577993419372977,5.577993419372977
221.6216216216216,6768.550307931988,1262.2849775295967,1262.2849775295967,-2.0771053295406894,5.568866051699553,5.568866051699553
227.02702702702703,6757.188912579023,1292.3617913957214,1292.3617913957214,-2.126597093674012,5.559518394372264,5.559518394372264
232.43243243243242,6745.560220653861,1322.3874828378098,1322.3874828378098,-2.176004735234924,5.549950817159782,5.549950817159782
237.83783783783784,6733.664692156884,1352.3608641186981,1352.3608641186981,-2.2253262997874326,5.540163698530227,5.540163698530227
243.24324324324323,6721.502797643827,1382.2807495704728,1382.2807495704728,-2.2745598363005226,5.530157425636201,5.530157425636201
248.64864864864865,6709.075018207161,1412.1459556413756,1412.1459556413756,-2.3237033972253363,5.519932394299468,5.519932394299468
254.05405405405403,6696.381845457065,1441.9553009426195,1441.9553009426195,-2.3727550385722136,5.509489008995301,5.509489008995301
259.4594594594595,6683.423781501975,1471.707606295123,1471.707606295123,-2.4217128199875897,5.49882768283648,5.49882768283648
264.86486486486484,6670.201338928728,1501.4016947761536,1501.4016947761536,-2.4705748048307505,5.487948837556951,5.487948837556951
270.27027027027026,6656.715040782277,1531.0363917658854,1531.0363917658854,-2.519339060250444,5.47685290349514,5.47685290349514
275.6756756756757,6642.965420545011,1560.610524993863,1560.610524993863,-2.568003657261335,5.4655403195769345,5.4655403195769345
281.0810810810811,6628.953022115643,1590.122924585374,1590.122924585374,-2.616566670820311,5.454011533298321,5.454011533298321
286.48648648648646,6614.678399787698,1619.5724231077247,1619.5724231077247,-2.6650261799026342,5.442267000707677,5.442267000707677
291.8918918918919,6600.14211822759,1648.9578556164242,1648.9578556164242,-2.7133802675779326,5.430307186387736,5.430307186387736
297.2972972972973,6585.344752452276,1678.2780597012616,1678.2780597012616,-2.761627021086023,5.418132563437213,5.418132563437213
302.7027027027027,6570.286887806526,1707.5318755322908,1707.5318755322908,-2.809764531912581,5.405743613452082,5.405743613452082
308.1081081081081,6554.969119939747,1736.718145905712,1736.718145905712,-2.8577908958646367,5.393140826506531,5.393140826506531
313.5135135135135,6539.392054782438,1765.835716289643,1765.835716289643,-2.905704213145893,5.38032470113357,5.38032470113357
318.9189189189189,6523.5563085222175,1794.8834348697937,1794.8834348697937,-2.9535025884318853,5.367295744305322,5.367295744305322
324.3243243243243,6507.462507579439,1823.8601525950264,1823.8601525950264,-3.001184130944947,5.354054471412954,5.354054471412954
329.72972972972974,6491.111288582426,1852.7647232228107,1852.7647232228107,-3.0487469545290122,5.340601406246302,5.340601406246302
335.1351351351351,6474.503298342276,1881.5960033645626,1881.5960033645626,-3.0961891777242174,5.326937080973142,5.326937080973142
340.5405405405405,6457.639193827281,1910.3528525308811,1910.3528525308811,-3.143508923841339,5.3130620361181435,5.3130620361181435
345.94594594594594,6440.519642136939,1939.0341331766533,1939.0341331766533,-3.1907043210360184,5.298976820541489,5.298976820541489
351.35135135135135,6423.145320475565,1967.638710746061,1967.638710746061,-3.237773502382814,5.284681991417156,5.284681991417156
356.7567567567568,6405.516916125503,1996.165453717456,1996.165453717456,-3.2847146059490515,5.270178114210887,5.270178114210887
362.16216216216213,6387.635126419933,2024.6132336481216,2024.6132336481216,-3.3315257748684726,5.255465762657811,5.255465762657811
367.56756756756755,6369.5006587152975,2052.980925218911,2052.980925218911,-3.378205157414695,5.240545518739754,5.240545518739754
372.97297297297297,6351.114230363311,2081.2674062787623,2081.2674062787623,-3.424750907074455,5.225417972662215,5.225417972662215
378.3783783783784,6332.476568682587,2109.4715578890864,2109.4715578890864,-3.471161182620655,5.210083722831018,5.210083722831018
383.78378378378375,6313.588410929867,2137.592264368029,2137.592264368029,-3.517434148185194,5.194543375828648,5.194543375828648
389.18918918918916,6294.450504270857,2165.6284133346085,2165.6284133346085,-3.563567973331595,5.178797546390244,5.178797546390244
394.5945945945946,6275.063605750672,2193.578895752712,2193.578895752712,-3.609560833127405,5.162846857379292,5.162846857379292
400.0,6255.428482263886,2221.442605974971,2221.442605974971,-3.6554109082163913,5.146691939762982,5.146691939762982
405.4054054054054,6235.545910524198,2249.218441786496,2249.218441786496,-3.701116384890507,5.130333432587248,5.130333432587248
410.8108108108108,6215.416677033711,2276.9053044484767,2276.9053044484767,-3.7466754551616357,5.11377198295149,5.11377198295149
416.2162162162162,6195.0415780518115,2304.502098741648,2304.502098741648,-3.7920863168331156,5.097008245982977,5.097008245982977
421.6216216216216,6174.4214195636805,2332.007733009609,2332.007733009609,-3.837347173571023,5.080042884810933,5.080042884810933
427.02702702702703,6153.557017248402,2359.421119202012,2359.421119202012,-3.882456234975235,5.0628765705403,5.0628765705403
432.4324324324324,6132.449196446708,2386.741172917597,2386.741172917597,-3.927411716650251,5.045509982225196,5.045509982225196
437.8378378378378,6111.098792128318,2413.966813447093,2413.966813447093,-3.9722118402757807,5.027943806842057,5.027943806842057
443.2432432432432,6089.506648858917,2441.096963815964,2441.096963815964,-4.016854833677088,5.0101787392624475,5.0101787392624475
448.64864864864865,6067.67362076675,2468.1305508270134,2468.1305508270134,-4.061338930895092,4.992215482225591,4.992215482225591
454.05405405405406,6045.600571508824,2495.066505102838,2495.066505102838,-4.105662372256231,4.97405474631056,4.97405474631056
459.4594594594594,6023.288374236755,2521.9037611281246,2521.9037611281246,-4.149823404442057,4.95569724990817,4.95569724990817
464.86486486486484,6000.737911562218,2548.6412572918057,2548.6412572918057,-4.193820280558611,4.937143719192564,4.937143719192564
470.27027027027026,5977.950075522045,2575.27793592905,2575.27793592905,-4.2376512602055065,4.918394888092484,4.918394888092484
475.6756756756757,5954.92576754293,2601.8127433631003,2601.8127433631003,-4.281314609544789,4.89945149826224,4.89945149826224
481.0810810810811,5931.665898405774,2628.244629946956,2628.244629946956,-4.3248086013695115,4.880314299052377,4.880314299052377
486.48648648648646,5908.171388209652,2654.5725501048964,2654.5725501048964,-4.368131515172069,4.8609840474800174,4.8609840474800174
491.8918918918919,5884.443166335427,2680.795462373836,2680.795462373836,-4.4112816372122525,4.841461508198937,4.841461508198937
497.2972972972973,5860.482171408975,2706.912329444523,2706.912329444523,-4.454257260585033,4.821747453469302,4.821747453469302
502.7027027027027,5836.289351264061,2732.922118202577,2732.922118202577,-4.497056685288093,4.801842663127122,4.801842663127122
508.10810810810807,5811.8656629048455,2758.823799769353,2758.823799769353,-4.539678218289071,4.781747924553408,4.781747924553408
513.5135135135135,5787.212072468024,2784.6163495426395,2784.6163495426395,-4.582120173592528,4.76146403264302,4.76146403264302
518.918918918919,5762.329555184617,2810.298747237192,2810.298747237192,-4.624380872306649,4.7409917897732266,4.7409917897732266
524.3243243243243,5737.219095341381,2835.869976925091,2835.869976925091,-4.666458642709646,4.720332005771963,4.720332005771963
529.7297297297297,5711.881686241883,2861.329027075931,2861.329027075931,-4.7083518203159,4.699485497885797,4.699485497885797
535.1351351351351,5686.318330167202,2886.674890596834,2886.674890596834,-4.750058747941793,4.678453090747599,4.678453090747599
540.5405405405405,5660.5300383362855,2911.9065648722844,2911.9065648722844,-4.7915777757712625,4.657235616343927,4.657235616343927
545.9459459459459,5634.517830865944,2937.023051803794,2937.023051803794,-4.832907261421071,4.635833913982109,4.635833913982109
551.3513513513514,5608.282736730503,2962.0233578493794,2962.0233578493794,-4.874045570005763,4.614248830257048,4.614248830257048
556.7567567567568,5581.825793721093,2986.9064940628705,2986.9064940628705,-4.9149910742023515,4.592481219017727,4.592481219017727
562.1621621621622,5555.148048404604,3011.671476133023,3011.671476133023,-4.955742154314677,4.570531941333438,4.570531941333438
567.5675675675676,5528.250556082282,3036.317324422461,3036.317324422461,-4.996297198337486,4.5484018654597165,4.5484018654597165
572.9729729729729,5501.134380747984,3060.8430640064266,3060.8430640064266,-5.036654602020195,4.526091866804002,4.526091866804002
578.3783783783783,5473.800595046092,3085.2477247113443,3085.2477247113443,-5.076812768930353,4.503602827890999,4.503602827890999
583.7837837837837,5446.250280229076,3109.5303411532027,3109.5303411532027,-5.1167701105167875,4.480935638327775,4.480935638327775
589.1891891891892,5418.484526114735,3133.6899527757355,3133.6899527757355,-5.156525046172448,4.458091194768571,4.458091194768571
594.5945945945946,5390.5044310430685,3157.725603888426,3157.725603888426,-5.1960760032969295,4.435070400879319,4.435070400879319
600.0,5362.311101832846,3181.6363437043055,3181.6363437043055,-5.235421417358676,4.4118741673019155,4.4118741673019155
605.4054054054054,5333.905653737816,3205.42122637757,3205.42122637757,-5.274559731956878,4.388503411618183,4.388503411618183
610.8108108108108,5305.289210402586,3229.0793110409895,3229.0793110409895,-5.31348939888303,4.364959058313579,4.364959058313579
616.2162162162163,5276.4629038181865,3252.6096618431297,3252.6096618431297,-5.352208878182182,4.341242038740624,4.341242038740624
621.6216216216216,5247.4278742772785,3276.011347985371,3276.011347985371,-5.390716638213849,4.317353291082064,4.317353291082064
627.027027027027,5218.185270329053,3299.283443758728,3299.283443758728,-5.429011155712604,4.293293760313751,4.293293760313751
632.4324324324324,5188.736248733801,3322.42502858047,3322.42502858047,-5.467090915848331,4.269064398167269,4.269064398167269
637.8378378378378,5159.0819744171495,3345.435187030534,3345.435187030534,-5.504954412286149,4.244666163092283,4.244666163092283
643.2432432432432,5129.223620423979,3368.3130088877383,3368.3130088877383,-5.5426001472460005,4.220100020218626,4.220100020218626
648.6486486486486,5099.162367872026,3391.0575891657863,3391.0575891657863,-5.5800266315618945,4.195366941318119,4.195366941318119
654.0540540540541,5068.899405905161,3413.6680281490685,3413.6680281490685,-5.617232384740818,4.1704679047661335,4.1704679047661335
659.4594594594595,5038.435931646344,3436.1434314282515,3436.1434314282515,-5.654215935021304,4.145403895502888,4.145403895502888
664.8648648648649,5007.773150150273,3458.482909935656,3458.482909935656,-5.690975819431639,4.120175904994486,4.120175904994486
670.2702702702702,4976.912274355716,3480.6855799804302,3480.6855799804302,-5.727510583847744,4.094784931193697,4.094784931193697
675.6756756756756,4945.854525037526,3502.7505632835046,3502.7505632835046,-5.7638187830506995,4.069231978500477,4.069231978500477
681.081081081081,4914.6011307583585,3524.6769870123326,3524.6769870123326,-5.799898980783899,4.043518057722245,4.043518057722245
686.4864864864865,4883.15332782006,3546.4639838154194,3546.4639838154194,-5.835749749809879,4.0176441860338885,4.0176441860338885
691.8918918918919,4851.51236021478,3568.1106918566315,3568.1106918566315,-5.871369671966767,3.991611386937532,3.991611386937532
697.2972972972973,4819.679479575745,3589.61625484929,3589.61625484929,-5.906757338224385,3.965420690222051,3.965420690222051
702.7027027027027,4787.65594512776,3610.9798220900393,3610.9798220900393,-5.941911348739987,3.9390731319223318,3.9390731319223318
708.1081081081081,4755.443023637388,3632.2005484925044,3632.2005484925044,-5.976830312913632,3.9125697542782936,3.9125697542782936
713.5135135135135,4723.041989362848,3653.2775946207153,3653.2775946207153,-6.011512849443189,3.8859116056936567,3.8859116056936567
718.9189189189188,4690.454124003602,3674.2101267223143,3674.2101267223143,-6.045957586378985,3.8590997406944725,3.8590997406944725
724.3243243243243,4657.680716649656,3694.997316761539,3694.997316761539,-6.080163161178069,3.8321352198874052,3.8321352198874052
729.7297297297297,4624.72306373057,3715.638342451976,3715.638342451976,-6.114128220758117,3.805019109917785,3.805019109917785
735.1351351351351,4591.582468964173,3736.132387289085,3736.132387289085,-6.147851421550947,3.7777524834274065,3.7777524834274065
740.5405405405405,4558.260243304991,3756.478640582502,3756.478640582502,-6.181331429555678,3.7503364190121014,3.7503364190121014
745.9459459459459,4524.757704892385,3776.6762974881103,3776.6762974881103,-6.214566920391494,3.722772001179072,3.722772001179072
751.3513513513514,4491.076178998418,3796.724559039869,3796.724559039869,-6.247556579350029,3.695060320303989,3.695060320303989
756.7567567567568,4457.216997975424,3816.622632181426,3816.622632181426,-6.2802991014473815,3.6672024725878645,3.6672024725878645
762.1621621621622,4423.181501203305,3836.369729797487,3836.369729797487,-6.312793191475731,3.6391995600136804,3.6391995600136804
767.5675675675675,4388.97103503655,3855.965070744949,3855.965070744949,-6.345037564054575,3.611052690302806,3.611052690302806
772.9729729729729,4354.586952750973,3875.4078798838063,3875.4078798838063,-6.377030943681574,3.5827629768711726,3.5827629768711726
778.3783783783783,4320.030614490187,3894.6973881078065,3894.6973881078065,-6.408772064783009,3.5543315387852323,3.5543315387852323
783.7837837837837,4285.303387211796,3913.832832374878,3913.832832374878,-6.440259671763843,3.5257595007176934,3.5257595007176934
789.1891891891892,4250.406644633322,3932.8134557373114,3932.8134557373114,-6.471492519057387,3.4970479929030254,3.4970479929030254
794.5945945945946,4215.341767177867,3951.638507371707,3951.638507371707,-6.502469371174573,3.4681981510927558,3.4681981510927558
800.0,4180.110141919503,3970.307242608669,3970.307242608669,-6.533189002752832,3.439211116510539,3.439211116510539
805.4054054054054,4144.713162528408,3988.8189229622703,3988.8189229622703,-6.563650198604555,3.410088035807013,3.410088035807013
810.8108108108108,4109.15222921573,4007.1728161592555,4007.1728161592555,-6.593851753765173,3.3808300610144415,3.3808300610144415
816.2162162162161,4073.428748678207,4025.3681961680168,4025.3681961680168,-6.6237924735408145,3.351438349501146,3.351438349501146
821.6216216216216,4037.544134042509,4043.4043432273093,4043.4043432273093,-6.653471173555572,3.321914063925715,3.321914063925715
827.027027027027,4001.499804809351,4061.2805438747228,4061.2805438747228,-6.682886679798346,3.292258372191019,3.292258372191019
832.4324324324324,3965.297186797338,4078.996090974906,4078.996090974906,-6.712037828669288,3.262472447398012,3.262472447398012
837.8378378378378,3928.9377120865556,4096.550283747538,4096.550283747538,-6.740923467025833,3.2325574677993196,3.2325574677993196
843.2432432432432,3892.422818961933,4113.942427795048,4113.942427795048,-6.769542452228306,3.2025146167526417,3.2025146167526417
848.6486486486486,3855.7539518563385,4131.17183513009,4131.17183513009,-6.7978936521851345,3.1723450826739295,3.1723450826739295
854.0540540540541,3818.9325612934435,4148.237824202748,4148.237824202748,-6.82597594539762,3.142050058990383,3.142050058990383
859.4594594594595,3781.960103830349,4165.139719927504,4165.139719927504,-6.853788221004305,3.1116307440932407,3.1116307440932407
864.8648648648648,3744.838041999962,4181.8768537099395,4181.8768537099395,-6.881329378824919,3.0810883412903736,3.0810883412903736
870.2702702702702,3707.5678442531444,4198.448563473185,4198.448563473185,-6.908598329403894,3.0504240587586837,3.0504240587586837
875.6756756756756,3670.1509849006234,4214.854193684107,4214.854193684107,-6.935593994053463,3.0196391094963153,3.0196391094963153
881.081081081081,3632.5889440546716,4231.09309537924,4231.09309537924,-6.9623153048963315,2.9887347112746703,2.9887347112746703
886.4864864864865,3594.8832075705614,4247.164626190465,4247.164626190465,-6.988761204907917,2.957712086590235,2.957712086590235
891.8918918918919,3557.0352669877852,4263.068150370408,4263.068150370408,-7.014930647958159,2.9265724626162264,2.9265724626162264
897.2972972972973,3519.046619471053,4278.803038817595,4278.803038817595,-7.040822598852911,2.8953170711540404,2.8953170711540404
902.7027027027027,3480.9187677510695,4294.368669101337,4294.368669101337,-7.066436033374882,2.863947148584532,2.863947148584532
908.1081081081081,3442.653220065092,4309.764425486354,4309.764425486354,-7.091769938324155,2.832463935819103,2.832463935819103
913.5135135135135,3404.2514900972674,4324.989698957128,4324.989698957128,-7.116823311558264,2.8008686782506196,2.8008686782506196
918.9189189189188,3365.7150969187546,4340.043887241994,4340.043887241994,-7.141595162031838,2.7691626257041424,2.7691626257041424
924.3243243243243,3327.0455649276296,4354.926394836966,4354.926394836966,-7.166084509835808,2.737347032387487,2.737347032387487
929.7297297297297,3288.244423788596,4369.636633029296,4369.636633029296,-7.190290386236159,2.705423156841619,2.705423156841619
935.1351351351351,3249.3132083724636,4384.174019920756,4384.174019920756,-7.214211833712261,2.6733922618908594,2.6733922618908594
940.5405405405405,3210.253458695437,4398.537980450663,4398.537980450663,-7.237847905994743,2.6412556145929336,2.6412556145929336
945.9459459459459,3171.066719858198,4412.7279464186195,4412.7279464186195,-7.2611976681029216,2.6090144861888525,2.6090144861888525
951.3513513513514,3131.7545419847884,4426.743356506996,4426.743356506996,-7.284260196381789,2.576670152052627,2.576670152052627
956.7567567567568,3092.3184801612824,4440.583656303134,4440.583656303134,-7.307034578538551,2.5442238916408098,2.5442238916408098
962.1621621621622,3052.7600943742777,4454.248298321276,4454.248298321276,-7.329519913678715,2.5116769884418892,2.5116769884418892
967.5675675675675,3013.0809494491873,4467.736742024221,4467.736742024221,-7.351715312341724,2.4790307299255194,2.4790307299255194
972.9729729729729,2973.2826149883354,4481.04845384471,4481.04845384471,-7.373619896536144,2.4462864074915864,2.4462864074915864
978.3783783783783,2933.366665308871,4494.182907206532,4494.182907206532,-7.395232799774395,2.413445316419127,2.413445316419127
983.7837837837837,2893.3346793804876,4507.139582545354,4507.139582545354,-7.416553167107026,2.380508755815088,2.380508755815088
989.1891891891892,2853.1882407629737,4519.917967329268,4519.917967329268,-7.437580155156537,2.3474780285629446,2.3474780285629446
