Feature,Mean,Std
X (km),7.000966602789467,4952.218224589015
Y (km),0.003541811862528369,3498.2500625564717
Z (km),0.00029171072802544465,3498.249128635341
VX (km/s),-1.871921772945862e-06,5.756409456791505
VY (km/s),0.005754365333672892,4.074466706757782
VZ (km/s),0.005754618937584058,4.0744680654050685
Resid Range (km),8.731501078543663e-05,0.0097273899516365
Resid Rate (km/s),6.396791579386723e-05,0.0010250559663055252
Resid Az (deg),0.0003116800989591277,0.010069950479575504
Resid El (deg),-7.225700221523392e-05,0.010223964017790183
P_xx,24.859217420134595,5.1224593199972555
P_yy,25.09608520840143,5.20609509780811
P_zz,25.09170883458113,5.055897340289082
P_vxvx,2.4939829117753725e-05,4.82320293820238e-06
P_vyvy,2.4800457436422345e-05,4.84959137951748e-06
P_vzvz,2.4944030469901793e-05,5.07115958682816e-06
