epoch,train_loss,val_loss,lr,is_best,time_s
1,0.025546174962073565,0.01216264646500349,0.001,True,0.15478157997131348
2,0.004874255031939934,0.005434512626379728,0.001,True,0.0604548454284668
3,0.0028917247387157245,0.004198254784569144,0.001,True,0.0568387508392334
4,0.0022503668442368507,0.003582962090149522,0.001,True,0.058667898178100586
5,0.001880394019694491,0.0032814587466418743,0.001,True,0.054345130920410156
6,0.0016609671980735254,0.0030370260123163463,0.001,True,0.059931039810180664
7,0.0015061031392013485,0.0028450630605220796,0.001,True,0.0708012580871582
8,0.0013856075873429124,0.0027470107655972243,0.001,True,0.05830216407775879
9,0.0013060723113912072,0.002629360882565379,0.001,True,0.05760693550109863
10,0.0012413414898963476,0.0025612489320337773,0.001,True,0.061441898345947266
11,0.0011925295482135632,0.002479795669205487,0.001,True,0.05172538757324219
12,0.001150404362388971,0.002440636325627565,0.001,True,0.06212782859802246
13,0.0011149357543961908,0.002414377895183861,0.001,True,0.05433988571166992
14,0.0010895982109518213,0.002374232211150229,0.001,True,0.05130195617675781
15,0.0010612079032315787,0.002341937483288348,0.001,True,0.04979062080383301
16,0.0010404855632011524,0.002316819806583226,0.001,True,0.051424264907836914
17,0.001020376869498498,0.0022952493513002993,0.001,True,0.04793858528137207
18,0.0010038202427412298,0.002288358542136848,0.001,True,0.05054759979248047
19,0.0009884265018627048,0.0022794425254687666,0.001,True,0.05364656448364258
20,0.0009700167601377788,0.0022690865444019437,0.001,True,0.055388450622558594
21,0.0009559417958371341,0.0022637446643784644,0.001,True,0.04807305335998535
22,0.0009416217375970023,0.0022644242271780968,0.001,False,0.049462080001831055
23,0.000929352401395921,0.002264491212554276,0.001,False,0.04701042175292969
24,0.0009161324494264343,0.002267164271324873,0.001,False,0.04969167709350586
25,0.0009062037596860054,0.002241525356657803,0.001,True,0.05404949188232422
26,0.0008948434816292403,0.0022163541289046407,0.001,True,0.0568392276763916
27,0.0008864734104876829,0.0022159037413075565,0.001,True,0.05635213851928711
28,0.0008733980926494537,0.0022404670249670743,0.001,False,0.05164170265197754
29,0.0008611143963538449,0.0022214951692149042,0.001,False,0.05378150939941406
30,0.0008476701517462392,0.0022294026799499988,0.001,False,0.049971580505371094
31,0.0008401329793162982,0.0022298717638477685,0.001,False,0.0475621223449707
32,0.0008316570496059616,0.0022177562350407243,0.001,False,0.04598355293273926
33,0.0008215083163866603,0.0022229278227314355,0.001,False,0.046298980712890625
34,0.0008154894960832528,0.002212140802294016,0.001,True,0.10329675674438477
35,0.000807425554905256,0.00223881583660841,0.001,False,0.05879497528076172
36,0.0007990265386814082,0.0022379828849807383,0.001,False,0.046877384185791016
37,0.0007895711169112474,0.0022372959181666376,0.001,False,0.05284571647644043
38,0.0007824239860796793,0.002242956799454987,0.001,False,0.05108833312988281
39,0.0007753604546781968,0.0022183444583788515,0.001,False,0.05680394172668457
40,0.0007674947555642575,0.0022506620502099396,0.001,False,0.04834103584289551
41,0.0007577479912222109,0.0022423721151426435,0.001,False,0.050679922103881836
42,0.0007514977213841947,0.0022310669301077724,0.001,False,0.056696414947509766
43,0.0007416184790517119,0.0021748011466115715,0.001,True,0.054607391357421875
44,0.0007359292913778601,0.002218277659267187,0.001,False,0.06485843658447266
45,0.0007284683709837158,0.0022114804247394203,0.001,False,0.05422043800354004
46,0.0007205739635868337,0.002241163095459342,0.001,False,0.05624699592590332
47,0.0007148320834279399,0.002177315950393677,0.001,False,0.053685665130615234
48,0.0007101187141167677,0.002199403918348253,0.001,False,0.04917168617248535
49,0.0006969452660996467,0.0022169783478602767,0.001,False,0.04857969284057617
50,0.000690566984386268,0.002186450595036149,0.001,False,0.04813098907470703
51,0.0006794034032447433,0.002220570505596697,0.001,False,0.05205392837524414
52,0.0006720622834770686,0.0022008627653121947,0.001,False,0.04707932472229004
53,0.00066620264260564,0.0022112567443400622,0.001,False,0.04684710502624512
54,0.0006609735031485219,0.00223057852126658,0.001,False,0.047786712646484375
55,0.0006533982113151895,0.002155032800510526,0.001,True,0.054129600524902344
